"symbol","series","bond_type","coupr","face_value","maturity_date","ltP","bYield","date"
"SREINFRA-Y6","Y6","-","","-","-","1,014.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-NY","NY","-","","-","-","1,173.00","-","Jan 25, 2019 15:59:59"
"IFCI-NE","NE","Regular","   9.40","1,000","01-DEC-19","1,019.00","-","Jan 25, 2019 15:59:59"
"BLUEDART-N3","N3","Regular","   9.50","10","20-NOV-19","10.86","-","Jan 25, 2019 15:59:59"
"NHAI-N5","N5","Regular","   8.50","1,000","05-FEB-29","1,340.00","-","Jan 25, 2019 15:59:59"
"IBULHSGFIN-N7","N7","-","","-","-","1,101.00","-","Jan 25, 2019 15:59:59"
"DHFL-N2","N2","-","","-","-","980.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-NX","NX","-","","-","-","1,050.00","-","Jan 25, 2019 15:59:59"
"DHFL-NN","NN","-","","-","-","931.55","-","Jan 25, 2019 15:59:59"
"SREINFRA-YH","YH","Regular","   8.75","1,000","16-MAR-21","1,000.00","-","Jan 25, 2019 15:59:59"
"RHFL-N2","N2","-","","-","-","976.00","12.519324693488418","Jan 25, 2019 15:59:59"
"IRFC-N4","N4","Tax Free","   7.34","1,000","19-FEB-28","1,080.00","6.221575894794492","Jan 25, 2019 15:59:59"
"IBULHSGFIN-NE","NE","-","","-","-","942.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-YA","YA","-","","-","-","1,059.00","-","Jan 25, 2019 15:59:59"
"DHFL-NT","NT","-","","-","-","-","-","Jan 25, 2019 15:59:59"
"IDFCFIRSTB-ND","ND","-","","-","-","5,189.00","-","Jan 25, 2019 15:59:59"
"DHFL-N4","N4","-","","-","-","965.00","-","Jan 25, 2019 15:59:59"
"DHFL-N6","N6","-","","-","-","920.00","-","Jan 25, 2019 15:59:59"
"NHBTF2014-N5","N5","Regular","   8.88","5,000","13-JAN-29","6,350.55","-","Jan 25, 2019 15:59:59"
"SREINFRA-YC","YC","Regular","   0.00","1,000","20-APR-19","1,045.00","-","Jan 25, 2019 15:59:59"
"TCFSL-N7","N7","Regular","   9.75","1,000","05-MAR-19","1,010.00","-","Jan 25, 2019 15:59:59"
"TCFSL-N6","N6","Regular","   9.75","1,00,000","05-MAR-19","1,03,999.00","-","Jan 25, 2019 15:59:59"
"IFCI-NK","NK","Regular","","1,000","13-FEB-20","1,390.00","-","Jan 25, 2019 15:59:59"
"ECLFINANCE-N6","N6","Regular","  12.00","1,000","26-APR-20","1,070.00","-","Jan 25, 2019 15:59:59"
"EHFLNCD-N3","N3","Taxable","   9.75","1,000","19-JUL-21","1,010.00","-","Jan 25, 2019 15:59:59"
